model,difficulty,n_problems,T_c_first,T_c_late,alpha_mean,beta_mean,alpha_beta_ratio,step1_acc,peak_acc,peak_step,delta_peak_step1
Qwen 0.5B,easy,11,1,1,0.04333333333333333,0.020166666666666666,2.1487603305785123,0.7575757575757576,0.7575757575757576,1,0.0
Qwen 0.5B,medium,51,2,2,0.016383024760536113,0.021154790828307412,0.7744356771712364,0.2549019607843137,0.32679738562091504,3,0.07189542483660133
Qwen 0.5B,hard,238,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0
DeepSeek 1.5B,easy,60,1,1,0.3730279821308497,0.30652128543504664,1.2169725231362314,0.7777777777777778,0.7777777777777778,1,0.0
DeepSeek 1.5B,medium,194,2,2,0.18758220110955132,0.4920012007026523,0.38126370594554543,0.1254295532646048,0.30927835051546393,10,0.18384879725085912
DeepSeek 1.5B,hard,46,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0
Mistral 7B,easy,82,1,3,0.11778434162172861,0.10860740051588702,1.0844964621402498,0.8089430894308943,0.8089430894308943,1,0.0
Mistral 7B,medium,136,1,3,0.062126916992951406,0.1427719656345991,0.4351478717604465,0.17892156862745098,0.32598039215686275,7,0.14705882352941177
Mistral 7B,hard,82,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0
Qwen 7B,easy,97,1,6,0.21928579990929423,0.12851769557206896,1.7062693112663632,0.8247422680412371,0.9037800687285223,8,0.07903780068728528
Qwen 7B,medium,194,1,6,0.15870033134093056,0.1728326376777308,0.9182312639169936,0.15120274914089346,0.7542955326460481,9,0.6030927835051546
Qwen 7B,hard,9,1,1,0.0,0.0,0.0,0.0,0.0,1,0.0
