trajectory_type,step,entropy_mean,confidence,hidden_l2_shift,hidden_cosine_shift,answer_changed,verbose_confidence_proxy,correct
corruption,1,0.2341126786901596,99.68085106382979,0.0,0.0,0.0,2.2735106382978723,1.0
corruption,2,0.42035041971409576,56.276595744680854,91.35458609398376,0.16321620598752445,0.851063829787234,1.4467553191489362,0.14893617021276595
corruption,3,0.3944455410571808,79.7872340425532,78.67841337082234,0.12021834989811508,0.7393617021276596,1.7364893617021275,0.4521276595744681
corruption,4,0.3471095308344415,84.12234042553192,59.99218221420937,0.07879477136946735,0.4574468085106383,1.8434574468085105,0.4734042553191489
corruption,5,0.2909571870844415,84.41489361702128,50.586431675768914,0.060944457954548725,0.35106382978723405,1.8400531914893616,0.5319148936170213
corruption,6,0.27616005755485373,84.04255319148936,42.89968386609504,0.046402035875523294,0.22872340425531915,1.8401063829787234,0.5478723404255319
corruption,7,0.23867213472406915,85.07978723404256,37.99624295691226,0.03830770228771448,0.19148936170212766,1.8624468085106383,0.5638297872340425
corruption,8,0.21470057710688165,85.02127659574468,35.688314940067045,0.03510919023067389,0.13829787234042554,1.8221808510638298,0.5851063829787234
corruption,9,0.2028224214594415,87.70744680851064,32.42909805318143,0.030809222066656025,0.10638297872340426,1.8683510638297873,0.574468085106383
corruption,10,0.17963620449634307,86.18085106382979,34.053301382572094,0.03435599518583171,0.10638297872340426,1.7810106382978723,0.6063829787234043
persistent_correct,1,0.2249755859375,100.0,0.0,0.0,0.0,2.3521428571428573,1.0
persistent_correct,2,0.33987862723214285,82.73809523809524,80.52011380876813,0.13564124987238926,0.0,1.6725,1.0
persistent_correct,3,0.28665597098214285,89.22619047619048,56.928976694742836,0.07070596232300709,0.0,1.6864285714285714,1.0
persistent_correct,4,0.24744378952752977,83.92857142857143,42.98856995219276,0.043541911812055634,0.0,1.608809523809524,1.0
persistent_correct,5,0.21272205171130953,88.69047619047619,34.84873152346838,0.031128784730320838,0.0,1.6622619047619047,1.0
persistent_correct,6,0.20365397135416666,82.73809523809524,32.28341400055658,0.029239117389633494,0.0,1.5732142857142857,1.0
persistent_correct,7,0.19827125186011904,79.76190476190476,32.69738563469478,0.032167198402540974,0.0,1.5523809523809524,1.0
persistent_correct,8,0.18582589285714285,77.97619047619048,30.172065842719306,0.026776320877529285,0.0,1.5188095238095238,1.0
persistent_correct,9,0.18566603887648808,76.78571428571429,27.930295705795288,0.02388406367529001,0.0,1.484047619047619,1.0
persistent_correct,10,0.17685808454241073,78.57142857142857,28.89500553835006,0.023877892465818448,0.0,1.4785714285714286,1.0
persistent_wrong,1,0.2936463647959184,97.18163265306123,0.0,0.0,0.0,2.3211632653061227,0.0
persistent_wrong,2,0.3592105787627551,65.22244897959183,81.97466629184022,0.13429410737387984,0.7673469387755102,1.6070000000000002,0.0
persistent_wrong,3,0.3685277822066326,80.17551020408163,72.8274474747327,0.10678461121053108,0.6285714285714286,1.82565306122449,0.0
persistent_wrong,4,0.33445272640306123,82.14081632653061,58.128749837680736,0.07396780215964022,0.4673469387755102,1.8586326530612245,0.0
persistent_wrong,5,0.3161541374362245,83.05714285714286,51.335860287413304,0.06065979952714877,0.32448979591836735,1.8589183673469387,0.0
persistent_wrong,6,0.2795469945790816,85.22857142857143,46.218651555508984,0.051649773729090735,0.2612244897959184,1.8497551020408163,0.0
persistent_wrong,7,0.24806456273915817,85.18775510204081,42.518206972978554,0.04560160843693476,0.23265306122448978,1.8361836734693877,0.0
persistent_wrong,8,0.22372959681919644,85.39591836734694,39.51804466928755,0.04175401415143689,0.17551020408163265,1.8234285714285714,0.0
persistent_wrong,9,0.209867018096301,84.12857142857143,34.878315004037354,0.03375474664629717,0.1510204081632653,1.8020408163265307,0.0
persistent_wrong,10,0.1861529914700255,85.81632653061224,35.842003934237425,0.03621367495887128,0.11632653061224489,1.794,0.0
repair,1,0.2660531306612319,98.18840579710145,0.0,0.0,0.0,2.2583333333333333,0.0
repair,2,0.30261053555253625,62.028985507246375,78.8575168001479,0.12637931324433585,0.9420289855072463,1.6068115942028987,0.42028985507246375
repair,3,0.354934471240942,81.30434782608695,74.68926845771679,0.11501318043556763,0.6884057971014492,1.8342028985507246,0.5362318840579711
repair,4,0.3492405103600543,82.57246376811594,58.93876772341521,0.0749005498229593,0.37681159420289856,1.8642028985507246,0.6304347826086957
repair,5,0.3045530457427536,80.57971014492753,51.25721237279367,0.05879177736199417,0.34782608695652173,1.8130434782608695,0.644927536231884
repair,6,0.2909767040307971,81.59420289855072,47.310566349305965,0.0521876984748287,0.2826086956521739,1.7896376811594203,0.6376811594202898
repair,7,0.2635489201200181,83.18840579710145,43.467637065528095,0.04698498007180029,0.2246376811594203,1.8010869565217391,0.6666666666666666
repair,8,0.2415939552196558,84.85507246376811,38.6270170211792,0.03961740585340965,0.18840579710144928,1.8039130434782609,0.644927536231884
repair,9,0.21980705814085144,82.64492753623189,36.55134972973146,0.03645770921223401,0.15942028985507245,1.748840579710145,0.644927536231884
repair,10,0.19441201030344202,88.40579710144928,35.31293992374254,0.03542878835097599,0.12318840579710146,1.791231884057971,0.644927536231884
